Frames,Timestamp,fundamental_freq,pid,qid,voice_label
493,6.142494322898995,,40,13,no
494,6.152537378145375,,40,13,no
495,6.1625804333917555,,40,13,no
496,6.172623488638136,185.21791565120859,40,13,yes
497,6.182666543884516,176.69082961372143,40,13,yes
498,6.192709599130897,174.34138778466897,40,13,yes
499,6.202752654377277,173.7983497655384,40,13,yes
500,6.2127957096236575,172.45170370325204,40,13,yes
501,6.222838764870039,171.69750217468948,40,13,yes
502,6.232881820116419,171.4924939749779,40,13,yes
503,6.2429248753627995,170.39695251481237,40,13,yes
504,6.25296793060918,168.63327526415952,40,13,yes
505,6.26301098585556,166.70709252379993,40,13,yes
506,6.273054041101941,165.10289547098733,40,13,yes
507,6.283097096348321,164.10131837048343,40,13,yes
508,6.293140151594702,162.9525606218371,40,13,yes
509,6.303183206841083,161.9620980927524,40,13,yes
510,6.313226262087463,160.84089692680146,40,13,yes
511,6.3232693173338435,159.3969602581372,40,13,yes
512,6.333312372580224,158.20877673045817,40,13,yes
513,6.343355427826604,156.2858468395871,40,13,yes
514,6.353398483072985,152.49432186788303,40,13,yes
515,6.363441538319365,146.4785877443271,40,13,yes
516,6.373484593565745,146.563812660288,40,13,yes
517,6.383527648812127,146.47164458445573,40,13,yes
518,6.393570704058507,149.1031206066915,40,13,yes
519,6.403613759304887,149.8715487134925,40,13,yes
520,6.413656814551268,149.74398257864237,40,13,yes
521,6.423699869797648,148.92420709605167,40,13,yes
522,6.433742925044029,147.72381486643891,40,13,yes
523,6.443785980290409,149.064904145611,40,13,yes
524,6.45382903553679,150.6056676701212,40,13,yes
525,6.463872090783171,149.22835729943168,40,13,yes
526,6.473915146029551,149.14506279764947,40,13,yes
527,6.483958201275931,148.06651690963656,40,13,yes
528,6.494001256522312,147.40730977428805,40,13,yes
529,6.504044311768692,146.48037563869636,40,13,yes
530,6.5140873670150725,144.55242802350807,40,13,yes
531,6.524130422261453,143.83327022379993,40,13,yes
532,6.534173477507833,143.70817728702468,40,13,yes
533,6.5442165327542146,143.4152079575739,40,13,yes
534,6.554259588000595,142.59806790677845,40,13,yes
535,6.564302643246975,141.93036413942843,40,13,yes
536,6.574345698493356,141.628573778492,40,13,yes
537,6.584388753739736,141.62046134458265,40,13,yes
538,6.5944318089861165,141.67275603190447,40,13,yes
