frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
189,0,7.832999999999999,0.98,1,-18.7,28.4,253.9,-0.204,-0.05,0.107
190,0,7.875,0.98,1,-18.6,28.5,253.0,-0.191,-0.048,0.107
191,0,7.917000000000001,0.88,1,-18.9,28.3,251.3,-0.19899999999999998,-0.039,0.105
192,0,7.957999999999999,0.88,1,-19.1,28.4,248.9,-0.19899999999999998,-0.039,0.10099999999999999
193,0,8.0,0.88,1,-19.0,28.6,249.5,-0.19,-0.035,0.1
194,0,8.042,0.98,1,-19.0,28.8,251.6,-0.185,-0.036000000000000004,0.09699999999999999
195,0,8.083,0.98,1,-19.4,28.8,251.2,-0.185,-0.034,0.1
196,0,8.125,0.98,1,-19.8,28.6,250.6,-0.19399999999999998,-0.034,0.099
197,0,8.167,0.98,1,-20.0,29.5,254.5,-0.2,-0.027000000000000003,0.10099999999999999
198,0,8.208,0.98,1,-19.7,29.8,254.4,-0.18899999999999997,-0.031,0.10099999999999999
199,0,8.25,0.98,1,-19.6,29.7,254.3,-0.185,-0.038,0.10400000000000001
200,0,8.292,0.98,1,-19.6,29.4,253.3,-0.185,-0.042,0.10400000000000001
201,0,8.333,0.98,1,-20.0,29.5,252.5,-0.174,-0.032,0.105
202,0,8.375,0.98,1,-20.2,29.8,252.3,-0.166,-0.034,0.10400000000000001
203,0,8.417,0.98,1,-19.9,29.9,251.5,-0.156,-0.037000000000000005,0.105
204,0,8.458,0.98,1,-19.5,30.0,252.3,-0.165,-0.044000000000000004,0.106
205,0,8.5,0.98,1,-19.6,30.0,254.3,-0.18100000000000002,-0.037000000000000005,0.105
206,0,8.542,0.98,1,-19.2,29.8,253.8,-0.18899999999999997,-0.040999999999999995,0.106
207,0,8.583,0.98,1,-19.1,29.9,254.1,-0.183,-0.037000000000000005,0.107
208,0,8.625,0.98,1,-19.0,30.0,254.0,-0.16899999999999998,-0.034,0.10800000000000001
209,0,8.667,0.98,1,-19.0,30.6,254.0,-0.13699999999999998,-0.031,0.109
210,0,8.708,0.98,1,-18.7,31.3,252.3,-0.107,-0.038,0.106
211,0,8.75,0.98,1,-18.6,31.6,251.1,-0.099,-0.039,0.10300000000000001
212,0,8.792,0.98,1,-18.9,31.2,250.7,-0.111,-0.037000000000000005,0.102
213,0,8.833,0.98,1,-19.1,31.0,251.0,-0.121,-0.037000000000000005,0.1
214,0,8.875,0.98,1,-19.2,30.9,251.1,-0.124,-0.040999999999999995,0.098
215,0,8.917,0.98,1,-19.2,30.6,250.9,-0.136,-0.04,0.1
216,0,8.958,0.98,1,-19.4,30.5,250.3,-0.15,-0.032,0.102
217,0,9.0,0.98,1,-19.7,30.8,250.7,-0.141,-0.024,0.105
218,0,9.042,0.98,1,-19.7,30.5,250.8,-0.14300000000000002,-0.023,0.107
219,0,9.083,0.98,1,-19.4,30.2,251.1,-0.153,-0.025,0.107
220,0,9.125,0.98,1,-19.1,30.1,252.0,-0.153,-0.025,0.10800000000000001
221,0,9.167,0.98,1,-18.9,30.0,252.1,-0.155,-0.028999999999999998,0.10800000000000001
222,0,9.208,0.98,1,-18.5,30.4,252.5,-0.156,-0.033,0.107
223,0,9.25,0.98,1,-18.0,31.0,252.2,-0.151,-0.039,0.107
224,0,9.292,0.98,1,-17.6,31.8,252.1,-0.14400000000000002,-0.040999999999999995,0.109
225,0,9.333,0.98,1,-17.4,31.8,252.0,-0.141,-0.040999999999999995,0.115
226,0,9.375,0.98,1,-16.9,31.6,253.2,-0.147,-0.042,0.11699999999999999
227,0,9.417,0.98,1,-16.0,30.7,253.3,-0.15,-0.044000000000000004,0.122
228,0,9.458,0.98,1,-15.0,29.5,255.5,-0.172,-0.048,0.121
229,0,9.5,0.98,1,-14.2,27.9,255.5,-0.18600000000000003,-0.051,0.121
230,0,9.542,0.98,1,-13.3,26.1,256.4,-0.20199999999999999,-0.057,0.122
231,0,9.583,0.98,1,-12.6,24.8,256.7,-0.21100000000000002,-0.063,0.122
232,0,9.625,0.98,1,-12.6,24.7,256.5,-0.20600000000000002,-0.06,0.125
233,0,9.667,0.98,1,-13.1,25.4,256.9,-0.19899999999999998,-0.055,0.13
234,0,9.708,0.98,1,-13.5,26.7,255.7,-0.17600000000000002,-0.057999999999999996,0.132
235,0,9.75,0.98,1,-13.7,27.8,255.3,-0.165,-0.051,0.129
236,0,9.792,0.98,1,-13.6,28.5,254.8,-0.149,-0.049,0.125
237,0,9.833,0.98,1,-13.6,29.1,255.0,-0.136,-0.045,0.122
238,0,9.875,0.98,1,-13.3,29.8,255.5,-0.138,-0.039,0.122
239,0,9.917,0.98,1,-12.6,30.1,255.2,-0.133,-0.038,0.124
